title  Photometry data for APASS_J045019.0-694302 from search centered on 04:50:19.00_-69:43:02.2 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
404501902694302	3620.802000	4751.516000	-10.392100	72.574721	-69.723082	12.609460	0.424062	12.150852	0.424062	2421181.685754	14350.050000	-6.669300	-10.699100	4.000000	4187.780000	420.007000	-28.920000	0.151000	0.000193	9.820000	0.017910	15.058400	14.650000	12.701486	99.000000	99.000000	-4.075393	0.332000	5238897	am	12773	87445	130	270041088	1114243074	57	51	46	40	30	21	9	2	23	5	510	5	0	0	6	0	384	130	1263	12.150852	99.000000	72.579596	-69.717370	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	11270.743000	9269.210000	-9.365400	72.578651	-69.718237	15.313869	0.331892	14.877245	0.268720	2421315.503513	5573.664000	-9.124800	-9.863200	3.500000	3455.531000	540.412800	42.270000	0.514000	0.000004	8.010000	0.004385	1.670600	0.000000	15.012935	0.127882	0.822212	-0.010376	0.365000	5238897	b	49663	303507	136	8921216	1382940672	15	14	13	8	6	4	2	1	59	0	1082	6	0	0	1	0	896	136	1353	14.877245	99.000000	72.579595	-69.717369	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	16061.401000	12300.424000	-10.135800	72.582578	-69.717641	15.949111	0.299374	15.424906	0.178665	2422609.888425	11332.160000	-10.120300	-10.238000	3.890000	2020.595000	945.501900	58.140000	0.433000	0.000004	6.530000	0.003331	3.801500	0.000000	15.629957	0.145022	1.364961	0.066789	0.319000	5238897	mf	7276	192499	131	2629760	1382940674	16	15	14	14	11	9	8	6	63	0	1445	27	0	0	5	0	896	131	2981	15.424906	99.000000	72.579581	-69.717363	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35950.926000	10435.503000	-14.204600	72.581007	-69.717023	15.700999	0.098427	15.327495	0.085633	2423486.544333	480649.400000	-13.203100	-14.293900	3.500000	4194.730000	1779.077000	0.820000	0.509000	0.000019	37.690000	0.006841	3.207000	0.000000	15.879776	0.091609	0.854016	0.040840	0.353000	5238897	a	12288	493984	130	8913024	1382940672	582	521	422	343	252	156	88	20	85	0	847	1	0	0	8	0	896	130	2132	15.327495	99.000000	72.579572	-69.717360	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35366.574000	11063.877000	-13.793500	72.582675	-69.716664	16.338167	0.111077	15.974168	0.168719	2423489.538347	329151.000000	-12.892700	-13.920200	4.870000	4013.425000	1524.247000	-1.060000	0.170000	0.000017	36.940000	0.006706	3.073100	0.000000	16.148720	0.115432	1.011254	0.021151	0.354000	5238897	a	12292	715282	130	8921216	1382940674	514	473	397	305	218	138	78	17	40	0	896	1	0	0	8	0	896	130	2132	15.974168	99.000000	72.579572	-69.717360	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36095.457000	9831.247000	-14.332600	72.580247	-69.717222	15.974825	0.095596	15.542262	0.105783	2423490.572353	540828.100000	-12.985700	-14.558900	3.850000	4203.918000	1458.201000	0.290000	0.318000	0.000025	41.830000	0.007593	3.268000	0.000000	15.996520	0.117649	0.881515	0.088419	0.394000	5238897	a	12294	591064	130	532480	1382940672	755	686	586	447	314	193	102	25	103	0	797	1	0	0	8	0	896	130	2111	15.542262	99.000000	72.579572	-69.717360	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35518.855000	9648.316000	-14.326100	72.580430	-69.717234	15.403148	0.105950	15.093467	0.105397	2423681.879625	537555.900000	-12.997300	-14.400300	3.500000	4267.205000	1322.981000	-6.730000	0.353000	0.000028	37.060000	0.006729	3.177900	0.000000	15.420082	0.083791	0.739501	-0.025343	0.316000	5238897	a	12697	673732	130	532608	1382940672	840	771	671	535	424	303	174	31	78	0	796	1	0	0	8	0	896	130	1714	15.093467	99.000000	72.579570	-69.717359	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35708.832000	10193.778000	-13.691400	72.581624	-69.718335	15.541907	0.109535	15.273494	0.260626	2423682.875619	299602.200000	-12.516000	-13.670100	3.500000	4341.426000	1236.536000	-12.560000	0.546000	0.000018	48.040000	0.008720	3.178400	0.000000	15.576780	0.068955	0.719468	-0.078419	0.316000	5238897	a	12699	1545936	130	13115392	1382940674	564	534	482	392	289	183	91	28	66	0	846	1	0	0	8	0	896	130	2110	15.273494	99.000000	72.579570	-69.717359	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	11868.014000	13480.168000	-12.632500	72.553514	-69.719938	11.346430	1.976234	11.014686	1.976234	2423706.815621	112982.100000	-9.113700	-12.746500	4.020000	4163.280000	2691.672000	44.270000	0.469000	0.000347	10.030000	0.018315	7.531500	14.070000	12.140604	99.000000	99.000000	0.000000	0.316000	5238897	am	16444	578257	130	278435968	1248460800	106	99	81	67	52	47	32	22	0	5	1534	5	0	0	2	0	392	130	-1	11.014686	99.000000	72.579570	-69.717359	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	802.041000	9999.055000	-14.529100	72.577916	-69.717063	16.075529	0.105841	15.704425	0.105841	2423707.811403	648116.800000	-13.152200	-14.659000	3.500000	4174.508000	1711.392000	5.240000	0.653000	0.000025	46.190000	0.008381	3.490100	0.000000	16.292807	99.000000	0.640372	-0.141919	0.316000	5238897	a	12790	322011	130	310919168	1382678528	733	657	570	440	305	162	78	12	9	1	751	1	0	0	9	0	4992	130	1298	15.704425	99.000000	72.579570	-69.717359	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36380.512000	10499.762000	-14.119400	72.580260	-69.717363	15.263683	0.136203	14.869983	0.091260	2423738.785039	444382.200000	-12.851800	-14.199200	3.500000	4883.083000	1304.581000	-1.770000	0.396000	0.000023	42.900000	0.007787	3.278500	0.000000	15.366480	0.068544	1.184032	0.041932	0.317000	5238897	a	12851	436245	130	532608	1382940672	704	640	573	445	303	198	116	32	82	0	847	1	0	0	8	0	896	130	1715	14.869983	99.000000	72.579570	-69.717359	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	13543.235000	5860.735000	-11.546300	72.579510	-69.717262	15.230480	0.160502	14.906677	0.120911	2423828.523288	41544.100000	-10.440700	-11.721300	3.500000	3498.341000	1064.776000	76.770000	0.537000	0.000024	13.750000	0.007007	3.585500	0.000000	15.672148	0.092363	1.314503	0.009643	0.242000	5238897	mf	8411	242911	130	524288	1382940672	87	72	51	36	18	12	8	3	74	0	688	27	0	0	5	0	896	130	2495	14.906677	99.000000	72.579569	-69.717358	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35788.961000	8709.987000	-14.509000	72.580412	-69.717002	15.551659	0.200931	15.159502	0.159471	2424360.895691	636235.400000	-12.965200	-14.596400	3.500000	4228.272000	1159.625000	-15.260000	0.516000	0.000031	50.410000	0.009149	3.287800	0.000000	15.548771	0.103399	0.828489	-0.016251	0.413000	5238897	a	13444	394568	130	34086912	1382940674	945	864	774	669	519	352	158	44	34	0	696	1	0	0	8	0	896	130	1708	15.159502	99.000000	72.579563	-69.717356	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35467.719000	8970.124000	-14.327300	72.579594	-69.715549	15.080423	0.089457	14.736991	0.089457	2424408.850647	538181.900000	-12.879300	-14.430000	3.500000	3699.080000	1396.543000	-9.010000	0.323000	0.000033	40.460000	0.007338	3.214600	0.000000	15.214864	99.000000	99.000000	0.000000	0.329000	5238897	a	13531	1367512	130	310943744	1114243072	1001	922	789	607	436	280	106	20	0	5	746	1	0	0	8	0	896	130	1714	14.736991	99.000000	72.579563	-69.717356	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	14537.231000	9235.860000	-12.391900	72.578383	-69.716871	16.115417	0.155854	15.599194	0.188497	2424412.771623	90524.990000	-11.163000	-12.620500	4.460000	4192.625000	1695.510000	29.310000	0.206000	0.000028	11.740000	0.005988	3.113900	0.000000	16.510324	0.151748	1.493573	0.122007	0.387000	5238897	mf	9836	146485	130	524288	1382940672	111	100	85	69	42	32	16	6	41	0	1091	27	0	0	4	0	896	130	2562	15.599194	99.000000	72.579563	-69.717356	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35371.441000	8962.560000	-14.020800	72.580850	-69.717341	15.308710	0.089697	14.990349	0.104158	2424418.800580	405806.000000	-12.685300	-14.014300	4.080000	4491.938000	1052.235000	-18.490000	0.445000	0.000028	41.870000	0.007599	3.198500	0.000000	15.180358	0.094666	0.440544	-0.041695	0.343000	5238897	a	13558	524826	130	42475520	1382942720	876	824	728	592	451	311	143	26	34	0	746	1	0	0	8	0	768	130	2110	14.946281	0.087746	72.579563	-69.717356	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	12623.772000	8896.422000	-12.421800	72.578594	-69.717193	15.366010	0.282764	15.151428	0.177399	2424488.590219	93052.620000	-11.151100	-12.614100	3.500000	4438.209000	1632.670000	-55.150000	0.161000	0.000030	12.690000	0.006479	2.269700	0.000000	16.672012	0.167610	1.920816	-0.091746	0.265000	5238897	mf	9930	121808	130	524288	1382942722	116	106	86	66	51	33	20	10	72	0	1036	27	0	0	2	0	768	130	2141	15.071924	0.175455	72.579562	-69.717355	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	14343.854000	8893.160000	-12.579200	72.579563	-69.717137	15.349351	0.276651	14.964820	0.201469	2424489.629030	107570.300000	-11.587800	-12.609100	3.500000	3857.966000	2487.640000	73.780000	0.096000	0.000025	8.150000	0.004158	3.053500	0.000000	16.752892	0.171844	1.667521	0.058123	0.249000	5238897	mf	9934	200353	130	524288	1382940672	93	90	81	63	44	30	19	12	74	0	1040	27	0	0	3	0	896	130	2162	14.964820	99.000000	72.579562	-69.717355	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	14374.212000	8897.374000	-12.707200	72.579855	-69.717803	15.908233	0.214577	15.430471	0.163079	2424491.631163	121022.900000	-11.081200	-12.968400	3.500000	4218.432000	1534.329000	-66.160000	0.383000	0.000041	16.090000	0.008209	3.088900	0.000000	16.865791	0.194394	2.201875	0.130082	0.246000	5238897	mf	9943	177100	130	524288	1382940673	155	134	108	87	65	50	30	12	44	0	1041	27	0	0	4	0	896	130	2561	15.430471	99.000000	72.579562	-69.717355	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	14220.294000	9276.693000	-11.334500	72.579285	-69.717055	16.020527	0.211994	15.680164	0.182447	2424492.607645	34180.980000	-10.529400	-11.497700	3.500000	4005.977000	1086.929000	-83.480000	0.141000	0.000015	9.470000	0.004831	2.930900	0.000000	16.742649	0.117706	1.535843	0.017170	0.253000	5238897	mf	9949	127398	130	524352	1382940672	59	56	52	41	27	21	6	4	92	0	1090	27	0	0	3	0	896	130	3536	15.680164	99.000000	72.579562	-69.717355	-4.700000	5.700000	0	0	0.000700	0	2
