Normed_Mag,Band,Survey
10.8472399,V,OGLE3/OGLE4
10.72287664,V,OGLE3/OGLE4
10.592295217,V,OGLE3/OGLE4
10.794730968000001,V,OGLE3/OGLE4
10.708367593000002,V,OGLE3/OGLE4
10.853458063,V,OGLE3/OGLE4
10.60542245,V,OGLE3/OGLE4
10.623386032,V,OGLE3/OGLE4
10.592986124000001,V,OGLE3/OGLE4
10.717349384,V,OGLE3/OGLE4
10.552222611000001,V,OGLE3/OGLE4
10.765712874000002,V,OGLE3/OGLE4
10.543931727,V,OGLE3/OGLE4
10.705603965,V,OGLE3/OGLE4
10.72287664,V,OGLE3/OGLE4
10.525968145,V,OGLE3/OGLE4
10.878330715,V,OGLE3/OGLE4
10.648949591000001,V,OGLE3/OGLE4
10.600586101000001,V,OGLE3/OGLE4
10.892148855,V,OGLE3/OGLE4
10.683494941000001,V,OGLE3/OGLE4
10.738767501,V,OGLE3/OGLE4
10.704913058000002,V,OGLE3/OGLE4
10.884548878,V,OGLE3/OGLE4
10.700767616,V,OGLE3/OGLE4
10.847930807000001,V,OGLE3/OGLE4
10.674513150000001,V,OGLE3/OGLE4
10.797494596000002,V,OGLE3/OGLE4
10.597131566,V,OGLE3/OGLE4
10.809240015,V,OGLE3/OGLE4
10.626840567,V,OGLE3/OGLE4
10.662076824000001,V,OGLE3/OGLE4
10.671058615000002,V,OGLE3/OGLE4
10.762258339,V,OGLE3/OGLE4
10.77124013,V,OGLE3/OGLE4
10.849312621000001,V,OGLE3/OGLE4
10.863821668000002,V,OGLE3/OGLE4
10.840330830000001,V,OGLE3/OGLE4
10.791276433000002,V,OGLE3/OGLE4
10.532877215000001,V,OGLE3/OGLE4
10.519749982000002,V,OGLE3/OGLE4
10.602658822,V,OGLE3/OGLE4
10.627531474000001,V,OGLE3/OGLE4
10.716658477000001,V,OGLE3/OGLE4
10.739458408,V,OGLE3/OGLE4
10.812003643,V,OGLE3/OGLE4
10.820985434,V,OGLE3/OGLE4
10.780912828,V,OGLE3/OGLE4
10.863821668000002,V,OGLE3/OGLE4
10.539095378,V,OGLE3/OGLE4
10.624767846000001,V,OGLE3/OGLE4
10.693858546000001,V,OGLE3/OGLE4
10.739458408,V,OGLE3/OGLE4
10.59851338,V,OGLE3/OGLE4
10.807167294000001,V,OGLE3/OGLE4
10.575022542000001,V,OGLE3/OGLE4
10.55014989,V,OGLE3/OGLE4
10.58469524,V,OGLE3/OGLE4
10.575713449,V,OGLE3/OGLE4
10.83342176,V,OGLE3/OGLE4
10.706294872,V,OGLE3/OGLE4
10.88869432,V,OGLE3/OGLE4
10.697313081,V,OGLE3/OGLE4
10.542549913,V,OGLE3/OGLE4
10.660004103,V,OGLE3/OGLE4
10.765021967000001,V,OGLE3/OGLE4
10.863130761,V,OGLE3/OGLE4
10.829967225,V,OGLE3/OGLE4
10.515604540000002,V,OGLE3/OGLE4
10.606113357000002,V,OGLE3/OGLE4
10.731167524,V,OGLE3/OGLE4
10.823749062000001,V,OGLE3/OGLE4
10.89560339,V,OGLE3/OGLE4
10.663458638,V,OGLE3/OGLE4
10.551531704,V,OGLE3/OGLE4
10.56396803,V,OGLE3/OGLE4
10.673131336,V,OGLE3/OGLE4
10.689713104,V,OGLE3/OGLE4
10.774694665000002,V,OGLE3/OGLE4
10.789894619000002,V,OGLE3/OGLE4
10.869348924,V,OGLE3/OGLE4
10.787130991,V,OGLE3/OGLE4
10.739458408,V,OGLE3/OGLE4
10.528731773,V,OGLE3/OGLE4
10.639276893,V,OGLE3/OGLE4
10.744985664,V,OGLE3/OGLE4
10.828585411,V,OGLE3/OGLE4
10.868658017000001,V,OGLE3/OGLE4
10.576404356000001,V,OGLE3/OGLE4
10.58469524,V,OGLE3/OGLE4
10.697313081,V,OGLE3/OGLE4
10.608186078000001,V,OGLE3/OGLE4
10.528731773,V,OGLE3/OGLE4
10.737385687000002,V,OGLE3/OGLE4
10.834803574,V,OGLE3/OGLE4
10.883167064000002,V,OGLE3/OGLE4
10.595058845,V,OGLE3/OGLE4
10.579858891,V,OGLE3/OGLE4
10.698003988000002,V,OGLE3/OGLE4
10.787130991,V,OGLE3/OGLE4
10.877639808000001,V,OGLE3/OGLE4
10.706985779,V,OGLE3/OGLE4
10.531495401,V,OGLE3/OGLE4
10.842403551,V,OGLE3/OGLE4
10.859676226000001,V,OGLE3/OGLE4
10.559131681,V,OGLE3/OGLE4
10.596440659,V,OGLE3/OGLE4
10.535640843000001,V,OGLE3/OGLE4
10.657240475000002,V,OGLE3/OGLE4
10.759494711,V,OGLE3/OGLE4
10.850003528000002,V,OGLE3/OGLE4
10.825821783,V,OGLE3/OGLE4
10.533568122000002,V,OGLE3/OGLE4
10.606804264,V,OGLE3/OGLE4
10.730476617,V,OGLE3/OGLE4
10.818912713000001,V,OGLE3/OGLE4
10.890076134000001,V,OGLE3/OGLE4
10.53633175,V,OGLE3/OGLE4
10.657931382,V,OGLE3/OGLE4
10.813385457,V,OGLE3/OGLE4
