epoch,mag,errmag
2451296.59112,13.793,0.008
2451300.5372,13.519,0.017
2451305.51562,13.898,0.01
2451308.54661,13.803,0.01
2451315.50579,13.652,0.006
2451318.4885,13.935,0.013
2451320.53069,13.865,0.011
2451331.49313,13.958,0.006
2451431.83645,13.849,0.017
2451435.88093,13.811,0.008
2451437.87363,13.52,0.008
2451441.84977,13.596,0.01
2451448.86843,13.83,0.007
2451460.78437,13.823,0.008
2451461.74055,13.828,0.01
2451471.75099,13.961,0.015
2451475.84543,13.586,0.013
2451478.77015,13.524,0.013
2451481.83237,13.727,0.008
2451484.83669,13.947,0.011
2451487.82947,13.797,0.013
2451491.76822,13.55,0.008
2451493.71013,13.667,0.013
2451495.75358,13.847,0.01
2451500.81524,13.729,0.017
2451503.70554,13.493,0.01
2451505.81239,13.596,0.017
2451507.70845,13.738,0.007
2451508.82503,13.881,0.015
2451509.68656,13.963,0.011
2451510.65207,13.922,0.015
2451511.73469,13.809,0.011
2451512.76872,13.802,0.011
2451514.78322,13.506,0.007
2451518.70087,13.618,0.01
2451520.72618,13.795,0.008
2451522.72687,13.927,0.01
2451523.72702,13.881,0.013
2451527.7683,13.466,0.015
2451528.69423,13.472,0.011
2451529.81967,13.537,0.014
2451531.71162,13.634,0.01
2451538.66874,13.776,0.01
2451541.62457,13.475,0.011
2451544.68127,13.655,0.014
2451546.70596,13.845,0.011
2451547.70757,13.919,0.017
2451548.68473,13.936,0.01
2451551.71409,13.753,0.015
2451552.647,13.503,0.01
2451554.64931,13.502,0.017
2451555.67379,13.543,0.013
2451556.64793,13.597,0.015
2451560.63965,13.919,0.008
2451564.55878,13.704,0.014
2451568.63545,13.556,0.014
2451575.65952,13.787,0.008
2451578.69983,13.507,0.015
2451582.64511,13.658,0.011
2451585.63588,13.918,0.006
2451588.63916,13.853,0.011
2451595.59625,13.673,0.014
2451599.66224,13.947,0.014
2451600.6291,13.826,0.008
2451601.62225,13.806,0.014
2451602.6887,13.711,0.014
2451604.6203,13.478,0.011
2451606.57726,13.543,0.01
2451609.5335,13.773,0.01
2451611.60851,13.947,0.014
2451613.5889,13.805,0.013
2451616.51761,13.471,0.011
2451618.6668,13.494,0.014
2451619.55683,13.544,0.017
2451621.55298,13.717,0.014
2451623.65013,13.893,0.01
2451625.63118,13.874,0.011
2451627.60148,13.825,0.008
2451631.51085,13.523,0.01
2451633.62625,13.638,0.011
2451635.50924,13.835,0.017
2451653.50367,13.719,0.013
2451657.55706,13.553,0.007
2451659.57168,13.685,0.008
2451662.53926,13.95,0.014
2451664.56233,13.798,0.007
2451672.50496,13.725,0.014
2451687.50257,13.938,0.007
2451695.48792,13.526,0.011
2451773.92462,13.7,0.013
2451782.85586,13.493,0.01
2451788.86429,13.9,0.014
2451804.85953,13.817,0.011
2451811.8801,13.67,0.017
2451815.85629,13.95,0.008
2451822.73799,13.545,0.011
2451829.88725,13.783,0.013
2451844.79517,13.589,0.014
2451850.7765,13.73,0.007
2451860.82297,13.533,0.01
2451863.79612,13.75,0.011
2451866.7468,13.941,0.011
2451868.7279,13.801,0.011
