HJD,mag,Band,Survey
-22250.58091500029,14.843535999999999,B,DASCH
-22250.5158169996,14.790576000000001,B,DASCH
-22250.510829000268,15.043860999999998,B,DASCH
-22249.720778000075,15.079749,B,DASCH
-22249.654986000154,14.477560999999998,B,DASCH
-22249.58780999994,14.869251,B,DASCH
-22249.55983800022,15.384263,B,DASCH
-22249.52271099994,14.435628,B,DASCH
-22249.45761199994,15.102256,B,DASCH
-22244.637881999835,16.055032999999998,B,DASCH
-22244.54888300039,16.001684,B,DASCH
-22243.69889099989,16.0588,B,DASCH
-22243.663891000208,15.7961,B,DASCH
-22243.511892999988,15.658551000000001,B,DASCH
-22223.580077999737,14.300026999999998,B,DASCH
-22223.525078000035,13.361528,B,DASCH
-22223.521079000086,14.662374,B,DASCH
-22223.47607900016,14.523365,B,DASCH
-22213.685167999938,15.781293,B,DASCH
-22206.634625999723,15.332016000000001,B,DASCH
-22200.468280000146,15.946670000000001,B,DASCH
-22199.71728600003,15.789473000000001,B,DASCH
-22199.680286000017,15.835015,B,DASCH
-22199.623286999762,15.639732,B,DASCH
-22199.58628699975,15.691293,B,DASCH
-22199.528287000023,15.812029999999998,B,DASCH
-22199.493288000114,15.8117,B,DASCH
-22199.445288000163,15.694367000000002,B,DASCH
-22198.71729400009,15.587009,B,DASCH
-22198.679293999914,15.499510999999998,B,DASCH
-22197.50130299991,15.355801000000001,B,DASCH
-22197.44830400031,15.376704,B,DASCH
-22192.717338999733,15.030188,B,DASCH
-22192.68333899975,14.965076999999999,B,DASCH
-22192.635338999797,14.939454999999999,B,DASCH
-22192.601340000052,14.92906,B,DASCH
-22192.524340000004,15.009321,B,DASCH
-22192.484339999966,15.029093,B,DASCH
-22192.45134099992,14.862466,B,DASCH
-22191.718345999718,15.187123999999999,B,DASCH
-22191.684345999733,15.205192000000002,B,DASCH
-22191.632347000297,15.255706,B,DASCH
-22191.598347000312,15.195901000000001,B,DASCH
-22189.636359999888,15.468468,B,DASCH
-22188.726367000025,15.746376000000001,B,DASCH
-22177.66276599979,15.059257,B,DASCH
-22165.551488999743,13.934353,B,DASCH
-22154.677172000054,15.274141,B,DASCH
-21965.444461000152,15.417922,B,DASCH
-21965.40746100014,15.380944,B,DASCH
-21964.402460000012,14.793068,B,DASCH
-21964.363459999673,14.722843,B,DASCH
-21958.391458000056,14.724639000000002,B,DASCH
-21933.417506000027,14.803420999999998,B,DASCH
-21926.540041000117,15.932649,B,DASCH
-21926.507490999997,15.840838,B,DASCH
-21921.586560999975,15.105037,B,DASCH
-21895.660900999792,15.814092,B,DASCH
-21895.595802000258,15.816629999999998,B,DASCH
-21894.626935000066,15.349351,B,DASCH
-21894.55975899985,15.324964999999999,B,DASCH
-21894.49050399987,14.406827999999999,B,DASCH
-21894.42125000013,14.778785000000001,B,DASCH
-21875.6266950001,13.980169,B,DASCH
-21874.63878200017,15.196019,B,DASCH
-21874.601040000096,14.220038,B,DASCH
-21874.569527999964,14.98603,B,DASCH
-21874.503736999817,14.762739000000002,B,DASCH
-21874.42409500014,14.977532,B,DASCH
-21870.498767999932,15.737238,B,DASCH
-21870.433668999933,15.676223,B,DASCH
-21868.660761999898,15.929742999999998,B,DASCH
-21865.69252699986,15.897407999999999,B,DASCH
