OGLE-LMC-CEP-0162  14.727 15.473   5.0244194 0.0000126  2163.12439  0.441  0.347 4.540  0.117 2.579
OGLE-LMC-CEP-0163  15.098 15.730   3.4413286 0.0000091  2250.35929  0.553  0.462 4.536  0.256 2.816
OGLE-LMC-CEP-0164  15.713 16.518   2.7808159 0.0000027  2165.22568  0.438  0.439 4.548  0.217 2.784
OGLE-LMC-CEP-0165  15.472 16.287   3.2277088 0.0000040  2166.13188  0.515  0.446 4.557  0.255 2.878
OGLE-LMC-CEP-0166  15.375 16.111   3.1462430 0.0000047  2164.39392  0.620  0.459 4.459  0.275 2.666
OGLE-LMC-CEP-0167  13.569 14.425  12.5107780 0.0000908  2157.74267  0.392  0.026 6.004  0.166 0.498
OGLE-LMC-CEP-0168  16.274 17.026   1.7543385 0.0000023  2166.50557  0.411  0.436 4.299  0.242 2.426
OGLE-LMC-CEP-0169  14.808 15.678   5.7768860 0.0000207  2163.60627  0.439  0.419 5.009  0.145 3.510
OGLE-LMC-CEP-0170  15.431 16.314   3.9896033 0.0000199  2166.78053  0.530  0.467 4.726  0.256 3.138
OGLE-LMC-CEP-0171  15.416 16.231   3.4122146 0.0000052  2164.04017  0.471  0.451 4.654  0.238 3.036
OGLE-LMC-CEP-0172  15.883 16.665   2.5161576 0.0000043  2165.04167  0.478  0.483 4.481  0.255 2.747
OGLE-LMC-CEP-0173  15.594 16.469   3.0728241 0.0000053  2170.14940  0.438  0.448 4.556  0.233 2.902
OGLE-LMC-CEP-0174  13.656 14.756  15.8627278 0.0001132  2151.01470  0.458  0.128 4.652  0.146 1.853
OGLE-LMC-CEP-0175  15.463 16.113   3.0040941 0.0000026  2165.68232  0.682  0.488 4.435  0.296 2.610
OGLE-LMC-CEP-0176  15.575 16.333   2.7567133 0.0000033  2164.52535  0.495  0.475 4.484  0.264 2.769
OGLE-LMC-CEP-0177  15.020 15.826   4.2764527 0.0000068  2166.08166  0.476  0.417 4.604  0.207 2.957
OGLE-LMC-CEP-0179  15.756 16.516   2.6151841 0.0000040  2166.02968  0.472  0.440 4.462  0.227 2.698
OGLE-LMC-CEP-0180  16.928 17.613   1.0372163 0.0000010  2166.81559  0.371  0.410 3.858  0.201 1.620
OGLE-LMC-CEP-0181  15.202 15.942   3.7039214 0.0000111  2170.05229  0.320  0.377 4.667  0.147 3.111
OGLE-LMC-CEP-0186  15.149 16.133   5.3793586 0.0000257  2166.25263  0.346  0.377 4.978  0.112 3.561
OGLE-LMC-CEP-0188  16.322 17.009   1.6484303 0.0000019  2165.13100  0.397  0.439 4.313  0.241 2.383
OGLE-LMC-CEP-0189  14.791 15.687   5.9199569 0.0000168  2166.52056  0.554  0.449 4.804  0.186 3.233
OGLE-LMC-CEP-0191  15.335 16.042   3.3540042 0.0000094  2165.72519  0.583  0.454 4.503  0.270 2.800
OGLE-LMC-CEP-0194  15.444 16.214   3.1455633 0.0000107  2163.92727  0.360  0.366 4.507  0.149 2.770
OGLE-LMC-CEP-0196  15.897 16.658   2.2984889 0.0000026  2171.26620  0.634  0.484 4.282  0.262 2.425
OGLE-LMC-CEP-0197  15.665 16.425   2.6181435 0.0000024  2163.45558  0.474  0.486 4.508  0.265 2.819
OGLE-LMC-CEP-0198  15.957 16.619   2.0349871 0.0000015  2165.97045  0.611  0.467 4.251  0.262 2.372
OGLE-LMC-CEP-0199  15.131 15.967   4.2996940 0.0000092  2163.45367  0.501  0.442 4.704  0.220 3.199
OGLE-LMC-CEP-0201  15.696 16.429   2.5705916 0.0000056  2165.01413  0.395  0.435 4.441  0.204 2.709
OGLE-LMC-CEP-0205  15.868 16.711   2.6423992 0.0000061  2166.30730  0.391  0.445 4.513  0.223 2.802
OGLE-LMC-CEP-0206  15.277 16.005   3.2728082 0.0000034  2170.65790  0.507  0.439 4.557  0.245 2.862
OGLE-LMC-CEP-0209  15.523 16.486   3.1227238 0.0000372  2273.14602  0.300  0.342 4.530  0.117 3.203
OGLE-LMC-CEP-0210  14.908 15.766   4.7872233 0.0000296  2162.62823  0.162  0.222 4.681  0.037 3.356
OGLE-LMC-CEP-0211  15.782 16.422   2.0977555 0.0000016  2165.54875  0.651  0.458 4.195  0.250 2.216
OGLE-LMC-CEP-0212  13.864 14.824  12.3265546 0.0000866  2163.27116  0.529  0.166 5.104  0.119 2.279
OGLE-LMC-CEP-0213  16.267 16.877   1.6504659 0.0000007  2165.74076  0.719  0.497 4.226  0.370 2.285
OGLE-LMC-CEP-0214  15.847 16.570   2.4240252 0.0000082  2163.80679  0.202  0.268 4.394  0.048 2.532
OGLE-LMC-CEP-0215  15.959 16.818   2.5452049 0.0000061  2165.60082  0.333  0.429 4.493  0.165 2.778
OGLE-LMC-CEP-0216  15.343 16.099   3.3986153 0.0000038  2164.83851  0.587  0.453 4.516  0.263 2.834
OGLE-LMC-CEP-0217  15.677 16.491   3.0408578 0.0000065  2166.13262  0.601  0.489 4.584  0.287 2.871
OGLE-LMC-CEP-0218  14.379 15.330   8.6216395 0.0000587  2160.80044  0.271  0.242 5.984  0.065 4.993
OGLE-LMC-CEP-0222  15.603 16.352   2.6968785 0.0000026  2165.43955  0.526  0.446 4.459  0.233 2.711
OGLE-LMC-CEP-0223  14.307 15.234   8.2391652 0.0000557  2165.15101  0.424  0.260 5.667  0.172 4.751
OGLE-LMC-CEP-0224  14.468 15.482   3.7796422 0.0000200  2165.33511  0.210  0.396 4.579  0.181 2.988
OGLE-LMC-CEP-0225  14.872 15.544   4.4325522 0.0000067  2169.54819  0.595  0.472 4.700  0.240 3.145
OGLE-LMC-CEP-0226  15.598 16.328   2.6091765 0.0000032  2164.17177  0.589  0.479 4.390  0.265 2.564
OGLE-LMC-CEP-0227  14.438 15.317   3.7970428 0.0000634  2166.20668  0.307  0.429 4.655  0.276 2.844
OGLE-LMC-CEP-0229  15.188 16.057   4.5635261 0.0000083  2165.29638  0.621  0.461 4.555  0.247 2.885
OGLE-LMC-CEP-0230  15.213 15.936   3.6907819 0.0000144  2163.34786  0.566  0.459 4.598  0.242 2.965
OGLE-LMC-CEP-0235  15.117 15.996   4.7622116 0.0000315  2163.53836  0.217  0.285 4.880  0.055 3.663
OGLE-LMC-CEP-0236  15.639 16.514   3.2965234 0.0000070  2163.91749  0.312  0.361 4.651  0.155 2.968
OGLE-LMC-CEP-0237  15.315 16.007   3.2226528 0.0000034  2171.39372  0.461  0.472 4.561  0.257 2.879
OGLE-LMC-CEP-0238  15.823 16.574   2.5057931 0.0000031  2165.85665  0.478  0.448 4.523  0.236 2.790
OGLE-LMC-CEP-0239  14.937 15.701   4.7508051 0.0000131  2163.10906  0.524  0.449 4.752  0.216 3.242
OGLE-LMC-CEP-0246  14.695 15.289   4.3331540 0.0000045  2165.48278  0.644  0.453 4.504  0.225 2.731
OGLE-LMC-CEP-0249     -   13.912  20.0831400 0.0030210      -         -      -     -      -     -  
OGLE-LMC-CEP-0250  14.455 15.207   6.1802352 0.0000393  2165.67376  0.411  0.391 5.076  0.125 3.592
OGLE-LMC-CEP-0253  15.892 16.628   2.0829962 0.0000019  2164.97784  0.515  0.455 4.276  0.260 2.438
OGLE-LMC-CEP-0254  15.637 16.355   2.7873539 0.0000047  2165.26117  0.505  0.441 4.644  0.240 2.956
OGLE-LMC-CEP-0255  15.293 15.933   3.2516305 0.0000032  2164.39711  0.612  0.476 4.637  0.283 2.976
OGLE-LMC-CEP-0257  14.574 15.374   6.2298674 0.0000330  2162.74012  0.332  0.355 5.235  0.079 3.804
OGLE-LMC-CEP-0258  14.739 15.535   5.0255625 0.0000210  2162.59069  0.317  0.339 4.622  0.133 2.973
OGLE-LMC-CEP-0262  15.515 16.256   2.8503573 0.0000049  2165.68220  0.394  0.421 4.545  0.216 2.862
OGLE-LMC-CEP-0263  15.948 16.649   2.1269245 0.0000027  2191.59060  0.542  0.489 4.364  0.289 2.593
OGLE-LMC-CEP-0264  15.112 15.919   3.8193088 0.0000057  2165.03510  0.478  0.449 4.566  0.243 2.866
OGLE-LMC-CEP-0266  15.654 16.549   3.2791657 0.0000097  2164.27042  0.327  0.395 4.563  0.172 2.896
OGLE-LMC-CEP-0267  15.705 16.551   2.7908335 0.0000034  2163.93851  0.443  0.421 4.523  0.222 2.755
OGLE-LMC-CEP-0269  15.103 15.800   3.8194408 0.0000042  2165.05146  0.624  0.479 4.568  0.278 2.952
OGLE-LMC-CEP-0270  15.162 15.662   3.6017730 0.0000186  2165.71661  0.292  0.374 4.659  0.149 3.078
OGLE-LMC-CEP-0271  15.535 16.319   2.7301822 0.0000062  2166.63788  0.264  0.349 4.355  0.124 2.538
OGLE-LMC-CEP-0272  15.499 16.182   2.9518477 0.0000035  2163.98179  0.518  0.433 4.507  0.227 2.752
OGLE-LMC-CEP-0273  15.398 16.121   3.1184030 0.0000053  2162.96391  0.396  0.423 4.596  0.210 2.925
OGLE-LMC-CEP-0274  14.907 15.642   4.5257007 0.0000053  2164.31009  0.664  0.467 4.721  0.232 3.061
OGLE-LMC-CEP-0275  15.555 16.351   3.0778322 0.0000110  2165.44159  0.238  0.320 4.537  0.096 2.772
OGLE-LMC-CEP-0276  15.752 16.466   2.3419013 0.0000023  2164.46803  0.526  0.472 4.375  0.245 2.610
OGLE-LMC-CEP-0278  15.210 16.051   4.0587007 0.0000096  2163.59346  0.485  0.448 4.804  0.230 3.332
OGLE-LMC-CEP-0279  14.704 15.470   5.7296034 0.0000128  2163.26443  0.490  0.413 5.118  0.162 3.451
OGLE-LMC-CEP-0280  15.372 16.148   3.2616649 0.0000056  2165.28168  0.376  0.416 4.598  0.193 2.958
OGLE-LMC-CEP-0281  16.133 17.076   2.5917060 0.0000047  2165.68618  0.379  0.437 4.475  0.203 2.804
OGLE-LMC-CEP-0282  15.743 16.588   2.8230954 0.0000049  2165.27417  0.381  0.432 4.503  0.211 2.743
OGLE-LMC-CEP-0285  15.928 16.717   2.3073469 0.0000029  2165.98846  0.413  0.459 4.427  0.232 2.732
OGLE-LMC-CEP-0286  15.043 15.927   3.1334968 0.0000061  2165.66004  0.324  0.487 4.534  0.279 2.801
OGLE-LMC-CEP-0289  16.426 17.115   1.4626657 0.0000015  2165.75639  0.467  0.434 4.204  0.235 2.187
OGLE-LMC-CEP-0290  14.962 15.738   4.2442714 0.0000229  2163.43576  0.244  0.297 4.760  0.092 3.196
OGLE-LMC-CEP-0291  15.270 16.049   3.7621217 0.0000065  2165.42711  0.474  0.436 4.667  0.227 3.061
OGLE-LMC-CEP-0292  14.145 14.811   7.3989255 0.0000591  2162.56824  0.546  0.344 5.095  0.215 3.196
OGLE-LMC-CEP-0293  15.426 16.210   3.1477927 0.0000088  2163.90424  0.423  0.413 4.575  0.202 2.847
OGLE-LMC-CEP-0295  15.571 16.293   2.7856812 0.0000032  2165.39833  0.575  0.496 4.450  0.283 2.673
OGLE-LMC-CEP-0296  15.303 16.141   3.6867630 0.0000147  2164.38263  0.357  0.397 4.679  0.179 3.054
OGLE-LMC-CEP-0299  15.290 16.021   3.4613239 0.0000056  2164.40105  0.492  0.439 4.587  0.233 2.939
OGLE-LMC-CEP-0301  15.525 16.345   3.3461812 0.0000042  2165.08460  0.501  0.461 4.599  0.259 2.971
OGLE-LMC-CEP-0303  16.729 17.532   1.5268747 0.0000076  2165.79668  0.542  0.466 4.258  0.291 2.303
OGLE-LMC-CEP-0304  15.340 16.150   3.6523662 0.0000119  2163.39670  0.363  0.410 4.634  0.180 3.062
OGLE-LMC-CEP-0306  14.354 15.172   6.8869769 0.0000142  2161.12631  0.557  0.432 4.889  0.169 3.173
OGLE-LMC-CEP-0308  14.652 15.515   6.7760125 0.0000546  2161.38907  0.177  0.220 5.500  0.000   -  
OGLE-LMC-CEP-0313  15.540 16.370   3.0979652 0.0000049  2165.00017  0.396  0.429 4.574  0.214 2.912
OGLE-LMC-CEP-0316  15.140 15.859   3.7351778 0.0000059  2162.63423  0.455  0.440 4.605  0.232 2.971
