epoch,mag,errmag
2451319.53674,13.466,0.014
2451329.46443,13.952,0.007
2451330.52901,13.241,0.008
2451335.48184,13.441,0.01
2451431.8807,13.431,0.011
2451436.79523,13.772,0.011
2451447.83891,13.43,0.007
2451449.88071,13.521,0.006
2451459.81225,13.275,0.011
2451461.85029,13.381,0.006
2451471.83671,13.957,0.011
2451478.80701,13.399,0.011
2451481.84546,13.494,0.007
2451484.7952,13.73,0.011
2451488.82749,13.956,0.01
2451491.8062,13.385,0.007
2451494.81159,13.391,0.004
2451496.69425,13.44,0.013
2451502.71205,13.875,0.011
2451505.74682,13.936,0.008
2451507.74779,13.573,0.007
2451508.65,13.308,0.013
2451509.81425,13.376,0.014
2451510.83796,13.379,0.011
2451511.66947,13.402,0.01
2451514.71762,13.532,0.007
2451516.68703,13.67,0.008
2451518.65903,13.854,0.013
2451520.68464,13.95,0.01
2451522.76484,13.958,0.008
2451524.82479,13.3,0.01
2451526.66245,13.384,0.015
2451527.82871,13.41,0.013
2451529.73192,13.457,0.008
2451531.83464,13.6,0.01
2451538.7908,13.934,0.014
2451542.81545,13.38,0.013
2451543.84816,13.411,0.015
2451544.75729,13.419,0.014
2451548.79014,13.671,0.014
2451549.80273,13.755,0.014
2451552.72606,13.959,0.011
2451553.80102,13.96,0.014
2451554.81627,13.926,0.015
2451555.81024,13.912,0.014
2451562.80223,13.51,0.011
2451566.65166,13.816,0.014
2451568.67329,13.956,0.01
2451571.73801,13.978,0.013
2451574.79003,13.381,0.015
2451576.64387,13.408,0.01
2451578.74421,13.504,0.011
2451581.69352,13.727,0.01
2451583.73282,13.905,0.008
2451585.67891,13.95,0.006
2451588.65365,13.509,0.01
2451595.63314,13.553,0.013
2451596.74637,13.624,0.011
2451599.73831,13.888,0.007
2451600.71587,13.927,0.007
2451601.74415,13.957,0.01
2451602.72566,13.926,0.007
2451605.51698,13.283,0.008
2451606.69233,13.358,0.008
2451609.70576,13.45,0.014
2451610.72335,13.498,0.008
2451611.70068,13.514,0.008
2451614.68687,13.763,0.006
2451615.70132,13.87,0.007
2451617.68256,13.968,0.007
2451618.68095,13.952,0.01
2451620.49872,13.902,0.007
2451623.66371,13.378,0.011
2451625.66815,13.426,0.015
2451626.66915,13.47,0.008
2451628.65746,13.574,0.014
2451630.67669,13.757,0.01
2451633.64,13.957,0.011
2451634.63342,13.953,0.011
2451635.64711,13.921,0.006
2451653.5568,13.33,0.011
2451655.59257,13.382,0.014
2451657.58173,13.417,0.008
2451662.57484,13.715,0.01
