  2451588.63067   14.784    0.010
  2451595.58777   14.617    0.013
  2451599.65373   14.762    0.013
  2451602.68022   14.742    0.008
  2451604.61180   14.704    0.013
  2451606.56880   14.861    0.010
  2451609.52501   14.861    0.011
  2451611.60003   14.666    0.015
  2451613.58041   14.780    0.015
  2451616.50911   14.816    0.010
  2451618.65833   14.811    0.011
  2451621.54450   14.757    0.013
  2451623.64167   14.633    0.007
  2451625.62271   14.856    0.011
  2451627.59298   14.740    0.007
  2451628.53291   14.836    0.013
  2451631.50235   14.827    0.013
  2451633.61780   14.695    0.011
  2451635.50080   14.765    0.014
  2451653.49521   14.848    0.011
  2451655.53914   14.706    0.015
  2451657.54861   14.718    0.011
  2451660.52345   14.736    0.008
  2451662.53079   14.828    0.015
  2451664.55388   14.649    0.007
  2451669.52379   14.817    0.006
  2451672.49649   14.824    0.011
  2451687.49414   14.861    0.008
  2451695.47947   14.611    0.011
  2451766.87223   14.655    0.007
  2451773.91621   14.709    0.011
  2451782.84744   14.638    0.014
  2451788.85588   14.626    0.010
  2451804.85110   14.669    0.008
  2451811.87166   14.838    0.011
  2451815.84784   14.846    0.007
  2451822.72955   14.696    0.008
  2451829.87880   14.691    0.008
  2451844.78664   14.657    0.015
  2451850.76802   14.709    0.006
  2451858.77215   14.804    0.011
  2451860.81449   14.652    0.008
  2451863.78762   14.624    0.011
  2451866.73831   14.634    0.010
  2451868.71941   14.835    0.013
  2451870.84044   14.785    0.011
