ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,HJD,mag,errmag
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,778.78092,14.293,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,780.85172,14.352,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,781.78575,14.088,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,788.79681,14.232,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,789.75326,14.001,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,792.7933,14.179,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,795.85498,14.353,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,796.85566,14.097,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,797.85316,14.016,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,798.85023,14.085,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,805.77556,14.04,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,817.82415,14.428,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,818.86008,14.268,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,819.85409,14.013,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,827.65203,14.001,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,830.8025,14.23,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,831.64772,14.333,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,833.65671,14.322,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,834.77104,14.008,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,837.81604,14.149,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,839.60286,14.371,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,841.82483,14.156,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,842.79001,14.025,0.006
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,850.67908,14.007,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,854.73984,14.361,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,856.73115,14.173,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,858.61244,14.062,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,860.75907,14.222,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,875.59417,14.191,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,880.51119,14.016,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,887.59144,14.008,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,892.6754,14.394,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,895.49775,14.007,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,897.49648,14.095,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,922.47983,14.372,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,928.49835,14.233,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,931.52082,14.342,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,934.493,14.088,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,952.48707,14.358,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1053.91667,14.02,0.018
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1065.91283,14.399,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1068.80422,14.0,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1077.82378,14.091,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1088.84181,14.413,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1092.87436,14.112,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1126.68071,14.394,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1129.72786,14.063,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1132.77805,14.31,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1136.81137,14.032,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1142.70361,14.208,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1151.79819,14.021,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1154.80604,14.255,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1157.79933,14.185,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1160.8328,14.109,0.02
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1166.80819,14.003,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1169.78873,14.248,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1171.83716,14.413,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1174.76351,14.049,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1175.84481,14.11,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1179.83878,14.339,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1183.73359,14.118,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1185.84833,14.358,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1187.80387,14.231,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1189.82686,14.039,0.017
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1191.83231,14.172,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1194.73963,14.394,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1201.75483,14.441,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1204.74045,14.037,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,1207.63327,14.28,0.013
