ID,OGLE-II ID
OGLE-LMC-CEP-1252,LMC_SC9_65304
OGLE-LMC-CEP-1260,LMC_SC9_65307
OGLE-LMC-CEP-0114,LMV1311
OGLE-LMC-CEP-0057,LMV1525
OGLE-LMC-CEP-4696,LMV1722
OGLE-LMC-CEP-0888,LMV1799
OGLE-LMC-CEP-0158,LMV1805
OGLE-LMC-CEP-2262,LMV497
OGLE-LMC-CEP-4512,NSV02741
OGLE-LMC-CEP-3284,UX
OGLE-LMC-CEP-1950,V1/NGC1953
OGLE-LMC-CEP-0619,
OGLE-LMC-CEP-1591,
OGLE-LMC-CEP-4629,
OGLE-LMC-CEP-4628,
OGLE-LMC-CEP-4689,
OGLE-LMC-CEP-4691,
OGLE-LMC-CEP-0992,
OGLE-LMC-CEP-2253,
OGLE-LMC-CEP-1290,
OGLE-LMC-CEP-4663,
OGLE-LMC-CEP-0966,
OGLE-LMC-CEP-0461,
OGLE-LMC-CEP-0943,
OGLE-LMC-CEP-0512,
OGLE-LMC-CEP-1113,
OGLE-LMC-CEP-0510,
OGLE-LMC-CEP-0945,
OGLE-LMC-CEP-0528,
OGLE-LMC-CEP-0328,
OGLE-LMC-CEP-1637,
OGLE-LMC-CEP-0590,
OGLE-LMC-CEP-4683,
OGLE-LMC-CEP-0434,
OGLE-LMC-CEP-0068,
OGLE-LMC-CEP-1632,
OGLE-LMC-CEP-0654,
OGLE-LMC-CEP-3853,
OGLE-LMC-CEP-0137,
OGLE-LMC-CEP-3981,
OGLE-LMC-CEP-3158,
OGLE-LMC-CEP-0999,
OGLE-LMC-CEP-4066,
OGLE-LMC-CEP-2504,
OGLE-LMC-CEP-2832,
OGLE-LMC-CEP-4634,
OGLE-LMC-CEP-3409,
OGLE-LMC-CEP-1677,
OGLE-LMC-CEP-0079,
OGLE-LMC-CEP-0147,
OGLE-LMC-CEP-3956,
OGLE-LMC-CEP-0063,
OGLE-LMC-CEP-3891,
OGLE-LMC-CEP-0712,
OGLE-LMC-CEP-0249,
OGLE-LMC-CEP-4357,
OGLE-LMC-CEP-4647,
OGLE-LMC-CEP-4061,
OGLE-LMC-CEP-3396,
OGLE-LMC-CEP-4130,
OGLE-LMC-CEP-0545,
OGLE-LMC-CEP-3611,
OGLE-LMC-CEP-2307,
OGLE-LMC-CEP-4664,
OGLE-LMC-CEP-3091,
OGLE-LMC-CEP-1100,
OGLE-LMC-CEP-4057,
OGLE-LMC-CEP-4320,
OGLE-LMC-CEP-4457,
OGLE-LMC-CEP-4600,
OGLE-LMC-CEP-0167,
OGLE-LMC-CEP-4148,
OGLE-LMC-CEP-3533,
OGLE-LMC-CEP-3640,
OGLE-LMC-CEP-3061,
OGLE-LMC-CEP-4118,
OGLE-LMC-CEP-3163,
OGLE-LMC-CEP-3574,
OGLE-LMC-CEP-2911,
OGLE-LMC-CEP-3832,
OGLE-LMC-CEP-4451,
OGLE-LMC-CEP-4377,
OGLE-LMC-CEP-4604,
OGLE-LMC-CEP-4625,
OGLE-LMC-CEP-3478,
OGLE-LMC-CEP-4055,
OGLE-LMC-CEP-1784,
OGLE-LMC-CEP-0016,
OGLE-LMC-CEP-0978,
OGLE-LMC-CEP-3890,
OGLE-LMC-CEP-4317,
OGLE-LMC-CEP-4143,
OGLE-LMC-CEP-4677,
OGLE-LMC-CEP-0139,
OGLE-LMC-CEP-2061,
OGLE-LMC-CEP-0878,
OGLE-LMC-CEP-4603,
OGLE-LMC-CEP-0366,
OGLE-LMC-CEP-2252,
OGLE-LMC-CEP-0751,
OGLE-LMC-CEP-0151,
OGLE-LMC-CEP-4388,
OGLE-LMC-CEP-2211,
OGLE-LMC-CEP-4033,
OGLE-LMC-CEP-2286,
OGLE-LMC-CEP-2209,
OGLE-LMC-CEP-1262,
