ID,mag_I,mag_V,ra,dec,DASCH ID
OGLE-LMC-CEP-2922,13.54,14.31,05:41:17.12,-72:11:54.7,APASS_J054117.1-721155
OGLE-LMC-CEP-4320,13.623,14.54,05:43:19.74,-67:02:55.7,
OGLE-LMC-CEP-0969,13.703,14.62,05:06:52.86,-68:43:25.1,S013203099745
OGLE-LMC-CEP-0356,13.694,14.598,04:54:55.36,-70:15:22.8,APASS_J045455.4-701523
OGLE-LMC-CEP-4457,13.584,14.435,05:49:57.93,-67:15:52.1,S011200011901
OGLE-LMC-CEP-0800,13.637,14.456,05:03:25.06,-68:46:21.0,S013203095523
OGLE-LMC-CEP-0975,13.671,14.574000000000002,05:06:58.28,-68:36:41.1,S0132030105561
OGLE-LMC-CEP-4600,13.587,14.407,06:11:58.27,-68:44:45.8,APASS_J061158.3-684446
OGLE-LMC-CEP-0167,13.568,14.452,04:50:41.96,-69:01:53.0,APASS_J045042.0-690153
OGLE-LMC-CEP-1973,13.796,14.735,05:25:59.15,-69:54:49.0,S013203157913
OGLE-LMC-CEP-0212,13.914,14.854,04:51:59.93,-68:53:27.0,S013233038902
OGLE-LMC-CEP-4148,13.561,14.427,05:33:59.46,-67:38:15.8,APASS_J053359.5-673816
OGLE-LMC-CEP-2102,13.647,14.5,05:28:38.09,-69:58:01.8,APASS_J052838.1-695802
OGLE-LMC-CEP-3533,13.592,14.371,05:02:52.54,-71:42:01.0,APASS_J050252.5-714201
OGLE-LMC-CEP-3640,13.827,,05:09:54.33,-65:14:27.1,S011231026527
OGLE-LMC-CEP-0749,13.665,14.527,05:02:26.71,-67:25:15.3,S013201372697
OGLE-LMC-CEP-0812,13.725,14.608,05:03:37.96,-69:03:47.0,S013203075387
OGLE-LMC-CEP-0716,13.909,14.842,05:02:00.95,-68:55:22.1,APASS_J050201.0-685522
OGLE-LMC-CEP-3061,13.875,14.925,05:44:16.82,-69:18:14.7,APASS_J054416.8-691815
OGLE-LMC-CEP-4118,13.504,14.374,05:32:47.24,-66:15:44.1,APASS_J053247.2-661544
OGLE-LMC-CEP-0923,13.384,14.173,05:05:50.87,-67:31:38.1,APASS_J050550.9-673138
OGLE-LMC-CEP-1120,13.714,14.605,05:09:26.95,-68:54:12.8,S013203087136
OGLE-LMC-CEP-1109,13.615,14.413,05:09:15.94,-68:44:29.6,S013203098166
OGLE-LMC-CEP-3163,13.712,,05:46:43.21,-67:48:19.0,APASS_J054643.2-674819
OGLE-LMC-CEP-0561,13.547,14.251,04:59:07.25,-67:43:30.9,APASS_J045907.3-674331
OGLE-LMC-CEP-2762,14.117,15.219,05:38:54.64,-70:18:42.5,S0101032217903
OGLE-LMC-CEP-2917,13.678,14.521,05:41:13.70,-69:03:51.9,APASS_J054113.7-690352
OGLE-LMC-CEP-3574,13.856,14.452,05:05:32.87,-65:59:06.3,APASS_J050532.9-655906
OGLE-LMC-CEP-2133,13.833,14.754,05:29:22.01,-69:18:44.4,S013200224899
OGLE-LMC-CEP-0034,13.751,14.673,04:42:01.91,-70:38:49.0,APASS_J044201.9-703849
OGLE-LMC-CEP-1608,13.984000000000002,14.882,05:19:46.93,-70:15:30.3,APASS_J051946.9-701530
OGLE-LMC-CEP-2911,13.487,14.29,05:41:10.53,-68:25:46.2,APASS_J054110.5-682546
OGLE-LMC-CEP-2429,13.637,14.468,05:34:21.20,-67:49:01.7,APASS_J053421.2-674902
OGLE-LMC-CEP-3832,13.722,14.624,05:17:22.04,-69:20:07.4,
OGLE-LMC-CEP-1391,13.796,14.679,05:15:40.50,-69:04:27.9,APASS_J051540.5-690428
OGLE-LMC-CEP-2189,13.550999999999998,14.277,05:30:27.01,-69:31:14.0,APASS_J053027.0-693114
OGLE-LMC-CEP-4451,13.873,14.683,05:49:40.14,-67:00:27.9,APASS_J054940.2-670028
OGLE-LMC-CEP-4377,13.798,14.705,05:46:24.32,-67:20:36.0,S013200094200
OGLE-LMC-CEP-1538,13.51,14.567,05:18:13.80,-68:19:30.6,APASS_J051813.8-681930
OGLE-LMC-CEP-4572,13.639,14.417,06:04:11.08,-68:12:58.7,APASS_J060411.1-681259
OGLE-LMC-CEP-0770,13.774,14.618,05:02:51.54,-68:47:05.3,APASS_J050251.6-684705
OGLE-LMC-CEP-4604,13.652,14.475,06:12:58.50,-68:15:19.9,
OGLE-LMC-CEP-4625,14.009,,04:49:08.84,-70:50:42.2,APASS_J044908.9-705042
OGLE-LMC-CEP-0741,13.577,14.337,05:02:21.16,-69:13:17.0,S013203066478
OGLE-LMC-CEP-3478,14.04,14.765,04:56:53.81,-69:22:46.3,S0132022129698
OGLE-LMC-CEP-4055,13.755999999999998,14.572,05:29:05.72,-64:59:43.4,APASS_J052905.7-645943
OGLE-LMC-CEP-0798,13.867,,05:03:23.65,-69:00:03.2,S013203079360
OGLE-LMC-CEP-3323,13.880999999999998,14.746,05:58:00.00,-68:26:59.9,S010100039205
OGLE-LMC-CEP-1784,14.026,14.924,05:22:42.80,-68:50:57.2,
OGLE-LMC-CEP-0016,13.777,14.878,04:38:32.53,-67:38:46.8,S0132321335
OGLE-LMC-CEP-0978,13.836,14.765,05:06:59.71,-68:43:26.3,S013203099155
OGLE-LMC-CEP-1719,14.84,16.302,05:21:55.32,-67:46:49.7,
OGLE-LMC-CEP-0689,14.035,14.912,05:01:32.37,-70:17:29.0,S013202379814
OGLE-LMC-CEP-3284,13.985,14.895,05:53:05.57,-69:29:01.4,
OGLE-LMC-CEP-0973,12.885,14.08,05:06:56.18,-69:03:15.5,APASS_J050656.2-690315
OGLE-LMC-CEP-3890,14.038,14.937,05:20:51.31,-66:05:24.1,S011202124219
OGLE-LMC-CEP-0708,13.703,14.482,05:01:51.93,-69:23:22.1,APASS_J050151.9-692322
OGLE-LMC-CEP-4317,13.665,14.492,05:43:13.44,-67:27:48.6,APASS_J054313.4-672749
OGLE-LMC-CEP-0114,13.792,14.592,04:49:12.46,-69:09:39.7,S013231189022
OGLE-LMC-CEP-1237,13.827,14.736,05:12:26.13,-69:13:56.9,APASS_J051226.2-691357
OGLE-LMC-CEP-0057,13.886,14.799,04:44:52.68,-69:01:59.5,S0132330251
OGLE-LMC-CEP-1431,13.86,14.691,05:16:09.86,-69:32:39.5,S013203181523
OGLE-LMC-CEP-2562,13.883,14.74,05:36:28.20,-69:49:15.2,APASS_J053628.2-694915
OGLE-LMC-CEP-2795,14.081,15.027,05:39:25.59,-70:20:58.9,S010103278914
OGLE-LMC-CEP-4143,13.985,14.93,05:33:45.59,-67:44:39.1,APASS_J053345.6-674439
OGLE-LMC-CEP-1252,13.74,14.579,05:12:49.78,-69:00:50.3,S013203314343
OGLE-LMC-CEP-0155,13.852,14.622,04:50:19.00,-69:43:02.2,APASS_J045019.0-694302
OGLE-LMC-CEP-4677,13.83,14.69,05:34:22.93,-62:30:38.7,
OGLE-LMC-CEP-3286,14.029000000000002,14.913,05:53:08.76,-69:30:08.9,
OGLE-LMC-CEP-0139,14.142,15.039,04:49:57.14,-69:07:38.0,APASS_J044957.1-690738
OGLE-LMC-CEP-2061,13.773,,05:27:48.47,-68:22:56.9,S013203232098
OGLE-LMC-CEP-2884,14.057,15.050999999999998,05:40:39.60,-70:46:03.1,S010103387315
OGLE-LMC-CEP-0878,13.903,14.712,05:05:02.75,-70:33:12.5,S013202371976
OGLE-LMC-CEP-0831,13.869000000000002,14.683,05:03:57.26,-68:50:24.2,APASS_J050357.3-685024
OGLE-LMC-CEP-2473,14.064,15.022,05:35:14.28,-70:09:07.2,S0101032100027
OGLE-LMC-CEP-4603,13.922,14.734000000000002,06:12:54.61,-67:58:24.4,APASS_J061254.6-675824
OGLE-LMC-CEP-1115,13.938,14.79,05:09:20.47,-68:51:05.3,
OGLE-LMC-CEP-2544,13.928,14.743,05:36:16.95,-69:54:15.3,S010100128382
OGLE-LMC-CEP-1910,14.08,14.961,05:24:57.03,-69:13:32.6,S0132031109576
OGLE-LMC-CEP-0366,13.657,,04:55:04.38,-69:46:22.8,APASS_J045504.4-694623
OGLE-LMC-CEP-2252,14.098,15.019,05:31:21.08,-67:59:47.1,S01320016038
OGLE-LMC-CEP-0751,12.986,13.981,05:02:27.47,-70:48:43.2,APASS_J050227.5-704843
OGLE-LMC-CEP-1933,14.079,14.895,05:25:25.82,-68:23:51.1,APASS_J052525.8-682351
OGLE-LMC-CEP-1940,15.034,16.483,05:25:28.95,-69:50:03.1,
OGLE-LMC-CEP-0888,14.005,14.815,05:05:16.04,-68:43:24.5,S013203098957
OGLE-LMC-CEP-0151,14.162,15.133,04:50:14.34,-68:49:28.1,S013233048745
OGLE-LMC-CEP-2765,14.548,15.763,05:38:56.25,-70:23:02.0,
OGLE-LMC-CEP-4388,13.998,14.867,05:46:53.02,-67:44:21.2,S013200051304
OGLE-LMC-CEP-2211,13.948,,05:30:48.15,-71:11:32.0,APASS_J053048.1-711132
OGLE-LMC-CEP-1260,13.985,14.856,05:13:07.86,-69:03:09.3,APASS_J051307.9-690309
OGLE-LMC-CEP-1234,14.002,14.897,05:12:20.59,-69:22:44.9,APASS_J051220.6-692245
OGLE-LMC-CEP-4033,13.755999999999998,14.514,05:28:15.61,-67:03:58.4,S013203230823
OGLE-LMC-CEP-2325,13.937,14.745,05:32:46.73,-71:52:41.7,S010103053788
