ID;mag_I;mag_V;P;error_P;t_max;amp_I;R_21;phi_21;R_31;phi_31;mode;ra;dec;OGLE-IV ID;OGLE-III ID;OGLE-II ID;GCVS;DASCH
OGLE-LMC-CEP-4357;13.524000000000001;14.65;17.5278785;0.0001198;6012.42551;529;198;4.993;121;2.447;F;05:45:09.95;-67:23:09.1;LMC555.03.3001;HV2836;;;True
OGLE-LMC-CEP-0787;13.198;14.13;17.521131399999998;0.000132;6016.09509;0.5489999999999999;228;5.044;124;2.8360000000000003;F;05:03:09.07;-69:13:24.0;LMC510.06.20;LMC_SC14_84259;HV2288;;True
OGLE-LMC-CEP-4647;13.259;;17.5187126;0.0032040999999999997;6013.98922;602;284;5.1979999999999995;122;3.5039999999999996;F;05:15:13.99;-65:49:08.0;LMC506.14.800D;HV2888;;;True
OGLE-LMC-CEP-0970;13.327;14.263;17.4598258;0.0001402;6004.29983;551;183;4.888;125;2.105;F;05:06:52.97;-68:39:35.6;LMC510.20.11;LMC118.2.56618;LMC_SC13_178831;HV2319;True
OGLE-LMC-CEP-0535;;13.661;17.2788297;0.00029560000000000003;;;;;;;F;04:58:36.13;-70:06:38.4;LMC509.16.37;LMC128.8.14857;HV2261;;True
OGLE-LMC-CEP-0844;13.065;13.927999999999999;17.213084600000002;0.00013330000000000001;6012.956120000001;728;263;5.065;0.18100000000000002;2.7230000000000003;F;05:04:15.47;-69:01:36.4;LMC510.05.56113;LMC_SC14_160625;HV891;;True
OGLE-LMC-CEP-1086;13.463;14.319;17.2020785;0.00011240000000000001;6014.90784;562;0.26899999999999996;5.136;156;3.27;F;05:08:48.37;-66:55:04.3;LMC511.28.18103;LMC115.2.14559;HV5594;;True
OGLE-LMC-CEP-4061;13.118;13.972000000000001;16.915024300000002;0.00013159999999999997;6001.32631;569;198;5.008;115;2.386;F;05:29:25.61;-66:14:23.3;LMC519.13.4476D;HV2580;;;True
OGLE-LMC-CEP-0820;13.628;14.427999999999999;16.836743;0.00024380000000000002;6012.82977;0.5870000000000001;258;5.12;0.16;3.207;F;05:03:47.89;-67:27:12.8;LMC511.23.1;LMC124.3.14665;HV2273;;True
OGLE-LMC-CEP-3396;13.177999999999999;14.137;16.680283300000003;0.000537;6011.326410000001;127;0.040999999999999995;3.883;0.0;;F;04:46:08.50;-69:02:47.2;LMC531.25.9133;;;;True
OGLE-LMC-CEP-2023;13.001;13.782;16.225761300000002;0.0001869;6004.0493;0.6629999999999999;251;4.781000000000001;0.18100000000000002;2.048;F;05:27:00.56;-71:38:35.7;LMC515.07.24933;LMC165.2.19817;HV2549;;True
OGLE-LMC-CEP-4130;13.089;13.859000000000002;16.2221132;0.0001421;6000.73016;0.6579999999999999;332;4.9910000000000005;215;3.085;F;05:32:58.73;-66:43:26.2;LMC519.03.4395;HV2667;;;True
OGLE-LMC-CEP-2937;13.612;14.75;16.1610598;0.0001672;6001.56003;0.7390000000000001;312;5.095;0.18899999999999997;3.321;F;05:41:27.51;-70:47:45.1;LMC552.15.32037;LMC178.4.8027;LMC_SC18_113689;HV2772;True
OGLE-LMC-CEP-2168;13.67;14.64;15.991484900000001;9.46e-05;6008.91749;0.54;0.23;5.045;134;2.7710000000000004;F;05:30:02.24;-69:52:59.2;LMC516.23.18;LMC169.7.103139;LMC_SC2_55470;HV985;True
OGLE-LMC-CEP-0848;13.373;14.229000000000001;15.9879745;0.0001636;6000.40849;733;316;5.14;0.19;3.345;F;05:04:21.08;-68:43:42.8;LMC510.13.54193;LMC118.7.56173;LMC_SC14_182466;HV892;True
OGLE-LMC-CEP-0174;13.665999999999999;14.739;15.8633946;0.0001107;6005.8133;0.47100000000000003;125;4.628;145;1.784;F;04:50:52.44;-69:18:56.0;LMC531.13.17275;LMC135.7.20856;HV12471;;True
OGLE-LMC-CEP-2056;13.194;14.069;15.8439636;8.28e-05;6006.36056;682;221;5.002;0.15;2.3680000000000003;F;05:27:42.94;-70:00:49.9;LMC516.15.26177;LMC162.1.91230;LMC_SC3_26910;HV973;True
OGLE-LMC-CEP-0545;13.265999999999998;;15.831564800000002;0.0012231;6013.05803;539;165;4.971;124;1.857;F;04:58:47.11;-70:03:41.7;LMC509.15.5392D;LMC128.8.35136;;;True
OGLE-LMC-CEP-3611;13.125;13.995999999999999;15.645365900000002;0.0001199;6003.80245;655;242;5.081;153;2.502;F;05:08:02.18;-71:57:38.6;LMC507.27.10;HV12762;;;True
OGLE-LMC-CEP-1616;13.765999999999998;14.819;15.5505082;7.26e-05;6006.79619;738;0.28800000000000003;5.119;183;3.12;F;05:19:59.93;-69:10:25.5;LMC503.20.68741;LMC100.3.77874;LMC_SC6_118107;HV933;True
OGLE-LMC-CEP-0546;13.248;14.024000000000001;15.216234900000002;0.0001111;6011.57027;635;0.33;4.905;0.21899999999999997;2.906;F;04:58:48.26;-67:19:07.9;LMC533.02.4343;LMC124.5.4122;HV2249;;True
OGLE-LMC-CEP-1180;13.402000000000001;14.285;15.126981900000002;8.240000000000001e-05;6011.81372;604;0.18600000000000003;4.9430000000000005;134;2.195;F;05:10:56.30;-69:01:55.7;LMC510.01.56678;LMC111.5.22528;LMC_SC10_119173;HV2356;True
OGLE-LMC-CEP-0683;13.414000000000001;14.321;14.6774663;0.00011850000000000001;6002.9945;0.5760000000000001;159;5.013;121;1.9340000000000002;F;05:01:24.94;-70:04:18.3;LMC509.14.51;LMC128.1.11808;HV2282;;True
OGLE-LMC-CEP-0727;13.286;14.12;14.489150199999997;6.929999999999999e-05;6007.95918;654;218;4.867;166;1.839;F;05:02:10.24;-69:32:23.8;LMC509.31.18;LMC128.4.53931;LMC_SC15_167787;HV887;True
OGLE-LMC-CEP-1001;13.489;14.380999999999998;14.4670756;9.209999999999999e-05;6000.4998399999995;509;121;4.754;136;1.704;F;05:07:21.69;-68:20:18.3;LMC510.28.8;LMC117.1.8;LMC_SC13_267454;HV2324;True
OGLE-LMC-CEP-0504;13.792;14.838;14.392962400000002;8.49e-05;6004.742770000001;0.5429999999999999;142;4.935;124;1.7990000000000002;F;04:57:56.71;-68:48:57.6;LMC531.26.15716;LMC126.8.39800;HV12505;;True
OGLE-LMC-CEP-2636;13.558;14.44;14.216845900000001;9.1e-05;6012.73076;742;0.23399999999999999;5.147;138;2.44;F;05:37:22.45;-69:28:59.3;LMC516.26.26052;LMC175.8.21682;HV1006;;True
OGLE-LMC-CEP-1184;13.62;14.57;14.212735999999998;8.28e-05;6013.43999;539;0.16399999999999998;5.092;0.11900000000000001;2.186;F;05:11:05.41;-70:30:34.4;LMC502.25.22978;LMC113.7.16211;HV5655;;True
OGLE-LMC-CEP-2307;13.917;;14.1894087;0.0004993;6001.4801;0.4;0.11699999999999999;4.455;156;1.807;F;05:32:23.36;-68:59:43.9;LMC517.12.292D;LMC168.4.24220;;;True
