ID_OGLE,RAJ2000.0,DECJ2000.0,N_epoch_OGLE,ID_DASCH,N_epoch_DASCH,ID_EROS,N_epoch_EROS,ID_MACHO,N_epoch_Macho,N_total,OGLE_Period
OGLE-LMC-CEP-0237,04:52:27.78,-66:46:09.6,1225,0,0.0,lm0283k25145,616.0,0,0.0,1841.0,3.2226656000000005
OGLE-LMC-CEP-0238,04:52:28.62,-68:57:39.4,965,0,0.0,0,0.0,45-1996-55,866.0,1831.0,2.5057914
OGLE-LMC-CEP-0239,04:52:31.98,-69:44:20.4,552,0,0.0,0,0.0,44-1984-1578,876.0,1428.0,4.7507991999999994
OGLE-LMC-CEP-0246,04:52:46.28,-67:38:03.4,1219,0,0.0,0,0.0,0,0.0,1219.0,4.3331413
OGLE-LMC-CEP-0249,04:52:47.69,-68:20:55.4,935,S013232227895,1476.0,0,0.0,45-2005-2892,862.0,3273.0,20.0861576
OGLE-LMC-CEP-0250,04:52:48.10,-68:38:46.0,1055,0,0.0,0,0.0,45-2000-16,864.0,1919.0,6.180250099999999
OGLE-LMC-CEP-0253,04:52:50.18,-69:04:19.8,872,0,0.0,0,0.0,45-1994-33,866.0,1738.0,2.0829793000000003
OGLE-LMC-CEP-0254,04:52:50.37,-68:30:36.1,1297,0,0.0,0,0.0,45-2002-21,862.0,2159.0,2.7873584
OGLE-LMC-CEP-0255,04:52:51.77,-66:58:05.5,593,0,0.0,0,0.0,48-2025-1960,808.0,1401.0,3.2516293
OGLE-LMC-CEP-0257,04:52:52.87,-68:01:25.4,184,0,0.0,lm0162k3902,907.0,0,0.0,1091.0,6.229689700000001
OGLE-LMC-CEP-0258,04:52:54.20,-69:16:35.1,886,0,0.0,lm0121l12845,991.0,0,0.0,1877.0,5.0254976
OGLE-LMC-CEP-0262,04:52:57.55,-67:25:02.6,914,0,0.0,0,0.0,48-2019-27,790.0,1704.0,2.8503689999999997
OGLE-LMC-CEP-0263,04:53:00.21,-68:59:58.6,669,0,0.0,0,0.0,0,0.0,669.0,2.1269245
OGLE-LMC-CEP-0264,04:53:00.52,-68:53:49.3,1193,0,0.0,0,0.0,45-1996-26,866.0,2059.0,3.8193141
OGLE-LMC-CEP-0266,04:53:01.06,-68:32:25.2,1090,0,0.0,0,0.0,45-2002-16,1724.0,2814.0,3.2791229
OGLE-LMC-CEP-0267,04:53:02.91,-68:54:28.4,811,0,0.0,0,0.0,45-1996-60,866.0,1677.0,2.7908308999999996
OGLE-LMC-CEP-0269,04:53:08.93,-70:08:16.1,1214,0,0.0,0,0.0,41-2099-907,914.0,2128.0,3.8194537000000004
OGLE-LMC-CEP-0270,04:53:09.26,-68:12:40.5,1561,0,0.0,0,0.0,0,0.0,1561.0,3.6017995000000003
OGLE-LMC-CEP-0271,04:53:10.27,-70:13:08.9,1056,0,0.0,0,0.0,0,0.0,1056.0,2.7302182999999998
OGLE-LMC-CEP-0272,04:53:10.79,-67:00:41.2,835,0,0.0,0,0.0,0,0.0,835.0,2.9518565
OGLE-LMC-CEP-0273,04:53:10.92,-67:36:21.1,1136,0,0.0,0,0.0,48-2137-22,800.0,1936.0,3.1183772999999997
OGLE-LMC-CEP-0274,04:53:11.29,-69:02:29.8,822,0,0.0,0,0.0,45-2115-592,866.0,1688.0,4.5257248
OGLE-LMC-CEP-0275,04:53:13.52,-69:39:08.4,1148,0,0.0,0,0.0,17-2106-32,1004.0,2152.0,3.0778447
OGLE-LMC-CEP-0276,04:53:15.21,-68:53:05.2,666,0,0.0,0,0.0,0,0.0,666.0,2.3418942000000005
OGLE-LMC-CEP-0278,04:53:15.76,-68:57:16.3,1012,0,0.0,0,0.0,0,0.0,1012.0,4.058629
OGLE-LMC-CEP-0279,04:53:16.84,-69:40:17.6,403,0,0.0,0,0.0,0,0.0,403.0,5.7297098
OGLE-LMC-CEP-0280,04:53:19.17,-66:56:00.5,1250,0,0.0,lm0283n21570,582.0,0,0.0,1832.0,3.2616772000000003
OGLE-LMC-CEP-0281,04:53:21.86,-69:09:20.1,1210,0,0.0,lm0121m17945,1139.0,0,0.0,2349.0,2.5917022000000003
OGLE-LMC-CEP-0282,04:53:23.86,-68:32:21.2,1119,0,0.0,0,0.0,45-2123-27,856.0,1975.0,2.8230771
OGLE-LMC-CEP-0285,04:53:28.58,-69:01:47.4,970,0,0.0,0,0.0,45-2115-604,866.0,1836.0,2.3073482999999997
OGLE-LMC-CEP-0286,04:53:29.23,-66:57:14.4,1203,0,0.0,0,0.0,0,0.0,1203.0,3.1335144
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,1205,0,0.0,lm0121n13560,509.0,0,0.0,1714.0,1.4626671
OGLE-LMC-CEP-0290,04:53:33.58,-67:22:07.7,1198,0,0.0,0,0.0,0,0.0,1198.0,4.2442405999999995
OGLE-LMC-CEP-0291,04:53:33.75,-69:45:33.6,824,0,0.0,0,0.0,17-2105-1770,998.0,1822.0,3.7621
OGLE-LMC-CEP-0292,04:53:35.03,-66:38:55.0,1045,APASS_J045335.0-663855,355.0,0,0.0,0,0.0,1400.0,7.398960000000001
OGLE-LMC-CEP-0293,04:53:36.42,-68:38:55.5,1098,0,0.0,0,0.0,45-2121-502,860.0,1958.0,3.1478085
OGLE-LMC-CEP-0295,04:53:36.96,-68:21:52.5,823,0,0.0,0,0.0,45-2125-449,858.0,1681.0,2.7857060000000002
OGLE-LMC-CEP-0296,04:53:38.15,-68:40:02.2,1154,0,0.0,0,0.0,45-2121-498,860.0,2014.0,3.6867495999999997
OGLE-LMC-CEP-0299,04:53:42.70,-70:23:10.9,1046,0,0.0,lm0127n18220,983.0,41-2095-6,914.0,2943.0,3.4613222
OGLE-LMC-CEP-0301,04:53:45.64,-69:23:28.5,1260,0,0.0,0,0.0,17-2110-28,998.0,2258.0,3.3461852
OGLE-LMC-CEP-0303,04:53:46.67,-68:32:18.0,1180,0,0.0,lm0164n4982,697.0,45-2123-76,856.0,2733.0,1.5268645
OGLE-LMC-CEP-0304,04:53:46.91,-69:19:13.0,1198,0,0.0,lm0121n20003,954.0,0,0.0,2152.0,3.6523152000000003
OGLE-LMC-CEP-0306,04:53:49.76,-69:34:05.8,837,S013202230475,467.0,0,0.0,17-2107-23,1004.0,2308.0,6.8868598
OGLE-LMC-CEP-0308,04:54:01.13,-69:18:51.8,1168,S013202237127,267.0,lm0121n19093,1076.0,0,0.0,2511.0,6.7758303
OGLE-LMC-CEP-0313,04:54:05.62,-68:55:31.2,738,0,0.0,0,0.0,45-2238-2413,866.0,1604.0,3.0979811
OGLE-LMC-CEP-0316,04:54:12.92,-67:49:30.4,1060,0,0.0,lm0160m27729,576.0,47-2255-24,1584.0,3220.0,3.735184
OGLE-LMC-CEP-0317,04:54:13.77,-68:02:05.5,1117,0,0.0,lm0162m5478,569.0,47-2251-30,3172.0,4858.0,3.1174673999999998
OGLE-LMC-CEP-0319,04:54:14.76,-69:02:13.9,975,0,0.0,0,0.0,18-2236-31,1546.0,2521.0,2.591708
OGLE-LMC-CEP-0321,04:54:18.77,-68:50:41.8,832,0,0.0,0,0.0,18-2239-21,1570.0,2402.0,3.2957906
OGLE-LMC-CEP-0322,04:54:20.96,-68:03:50.4,1208,0,0.0,0,0.0,47-2251-29,3172.0,4380.0,2.3834772
OGLE-LMC-CEP-0324,04:54:21.74,-69:13:42.3,988,0,0.0,0,0.0,18-2233-59,1542.0,2530.0,3.1905892000000002
OGLE-LMC-CEP-0325,04:54:21.73,-69:47:40.0,448,0,0.0,0,0.0,17-2225-40,988.0,1436.0,3.1928315
OGLE-LMC-CEP-0328,04:54:23.76,-70:54:05.8,1214,APASS_J045423.8-705406,1938.0,0,0.0,0,0.0,3152.0,34.4486189
OGLE-LMC-CEP-0329,04:54:24.37,-70:55:24.2,736,0,0.0,lm0542m14525,630.0,0,0.0,1366.0,3.9275402
OGLE-LMC-CEP-0331,04:54:28.11,-68:29:54.4,1077,S0132322111805,668.0,0,0.0,0,0.0,1745.0,6.8705819
OGLE-LMC-CEP-0332,04:54:33.69,-70:19:36.3,788,0,0.0,0,0.0,41-2217-18,914.0,1702.0,4.2960383
OGLE-LMC-CEP-0333,04:54:36.48,-71:15:24.2,1124,0,0.0,0,0.0,39-2203-13,704.0,1828.0,5.5496704
OGLE-LMC-CEP-0335,04:54:38.12,-68:04:21.0,1558,0,0.0,0,0.0,47-2372-21,1586.0,3144.0,2.8707566000000004
OGLE-LMC-CEP-0337,04:54:38.75,-68:36:37.6,750,0,0.0,0,0.0,0,0.0,750.0,2.8804884
OGLE-LMC-CEP-0339,04:54:43.83,-70:50:04.1,967,0,0.0,lm0542m5795,1050.0,0,0.0,2017.0,2.8676494
OGLE-LMC-CEP-0340,04:54:44.43,-68:23:49.7,420,0,0.0,lm0164m7226,671.0,0,0.0,1091.0,2.1444669
